query,optimizer,loop,join_order,prep_time,exec_time,total_time
8a.sql,DuckDB,NULL,6-5-3-2-4-1-0,2.766,644.285,647.067
12a.sql,DuckDB,NULL,5-2-4-0-1-7-6-3,2.534,31896.4,31899
14c.sql,DuckDB,NULL,4-0-7-6-5-3-2-1,2.62,32664.9,32667.5
19a.sql,DuckDB,NULL,2-1-8-7-0-9-6-5-4-3,3.22,32555.1,32558.4
16c.sql,DuckDB,NULL,6-0-1-7-5-4-3-2,2.973,4874.66,4877.65
4b.sql,DuckDB,NULL,4-3-2-1-0,0.715,122.621,123.353
33a.sql,DuckDB,NULL,7-0-12-4-9-2-11-6-10-3-13-5-8-1,4.099,257.111,261.226
3a.sql,DuckDB,NULL,3-2-1-0,0.505,32191.3,32191.8
1b.sql,DuckDB,NULL,4-3-2-1-0,0.619,434.071,434.708
18a.sql,DuckDB,NULL,6-4-3-2-1-5-0,3.001,36663.2,36666.2
15b.sql,DuckDB,NULL,6-3-7-4-5-1-2-8-0,3.256,28156.8,28160.1
23c.sql,DuckDB,NULL,8-4-9-5-7-2-3-10-6-1-0,3.14,31770.2,31773.4
26b.sql,DuckDB,NULL,4-3-10-9-6-11-7-8-5-1-0-2,3.238,794.372,797.628
19c.sql,DuckDB,NULL,2-1-8-7-0-9-6-5-4-3,3.235,32699.5,32702.8
17f.sql,DuckDB,NULL,6-4-3-2-1-5-0,2.753,2105.18,2107.95
27c.sql,DuckDB,NULL,9-5-7-3-4-1-0-2-10-6-11-8,3.935,31920.6,31924.5
6c.sql,DuckDB,NULL,4-2-1-3-0,0.587,277.957,278.56
28a.sql,DuckDB,NULL,10-5-12-7-9-3-4-13-8-11-6-1-0-2,3.716,32406.9,32410.6
32a.sql,DuckDB,NULL,5-4-3-2-1-0,0.839,380.473,381.331
11d.sql,DuckDB,NULL,5-2-4-0-1-7-6-3,2.523,303.919,306.46
19d.sql,DuckDB,NULL,2-1-8-7-0-9-6-5-4-3,2.998,5584.71,5587.72
4c.sql,DuckDB,NULL,4-3-2-1-0,0.601,590.782,591.403
26a.sql,DuckDB,NULL,4-3-10-9-6-11-7-8-5-1-0-2,3.199,875.663,878.878
10c.sql,DuckDB,NULL,6-4-3-2-5-1-0,2.812,1585.76,1588.59
5b.sql,DuckDB,NULL,4-3-2-1-0,0.782,31690.4,31691.2
9b.sql,DuckDB,NULL,7-4-3-6-2-1-5-0,3.202,783.859,787.077
10b.sql,DuckDB,NULL,6-4-3-2-5-1-0,2.822,881.222,884.061
6a.sql,DuckDB,NULL,4-2-1-3-0,0.691,330.547,331.255
30a.sql,DuckDB,NULL,10-3-7-4-9-6-8-5-1-0-2-11,3.173,32561.4,32564.6
23b.sql,DuckDB,NULL,8-4-9-5-7-2-3-10-6-1-0,3.16,28044.8,28048
31a.sql,DuckDB,NULL,9-0-6-2-8-4-5-1-7-3-10,3.278,32623.8,32627.1
8b.sql,DuckDB,NULL,6-5-3-2-4-1-0,3.077,529.557,532.651
2d.sql,DuckDB,NULL,4-3-2-1-0,0.491,1218.21,1218.72
15a.sql,DuckDB,NULL,6-3-7-4-5-1-2-8-0,2.89,28178.7,28181.6
15c.sql,DuckDB,NULL,6-3-7-4-5-1-2-8-0,3.054,33216.8,33219.9
33c.sql,DuckDB,NULL,7-0-12-4-9-2-11-6-10-3-13-5-8-1,5.339,313.797,319.155
2c.sql,DuckDB,NULL,4-3-2-1-0,0.696,1272.14,1272.85
21a.sql,DuckDB,NULL,6-2-4-0-1-8-7-3-5,4.495,32360.5,32365.1
17a.sql,DuckDB,NULL,6-4-3-2-1-5-0,2.878,1543.21,1546.11
13c.sql,DuckDB,NULL,6-3-5-0-1-8-7-4-2,2.846,219.159,222.024
31b.sql,DuckDB,NULL,9-0-6-2-8-4-5-1-7-3-10,3.519,32662.6,32666.2
20c.sql,DuckDB,NULL,8-4-3-7-5-9-6-1-0-2,3.446,1428.77,1432.24
7b.sql,DuckDB,NULL,7-4-3-1-6-0-2-5,3.533,428.868,432.418
21c.sql,DuckDB,NULL,6-2-4-0-1-8-7-3-5,3.172,32156.2,32159.4
7c.sql,DuckDB,NULL,7-4-3-1-6-0-2-5,3.513,18697.4,18701
25b.sql,DuckDB,NULL,7-0-8-6-5-4-3-2-1,2.815,32195.8,32198.7
9d.sql,DuckDB,NULL,7-4-3-6-2-1-5-0,2.896,1367.04,1369.95
28c.sql,DuckDB,NULL,10-5-12-7-9-3-4-13-8-11-6-1-0-2,3.882,32477.2,32481.1
14a.sql,DuckDB,NULL,4-0-7-6-5-3-2-1,2.725,32291.1,32293.9
25a.sql,DuckDB,NULL,7-0-8-6-5-4-3-2-1,2.761,34550.8,34553.6
12c.sql,DuckDB,NULL,5-2-4-0-1-7-6-3,4.674,32931.1,32935.7
16d.sql,DuckDB,NULL,6-0-1-7-5-4-3-2,3.139,4748.98,4752.14
20a.sql,DuckDB,NULL,8-4-3-7-5-9-6-1-0-2,3.736,1001.92,1005.68
6e.sql,DuckDB,NULL,4-2-1-3-0,0.594,403.702,404.315
3c.sql,DuckDB,NULL,3-2-1-0,0.462,33247.7,33248.2
8c.sql,DuckDB,NULL,6-5-3-2-4-1-0,2.72,4597.87,4600.61
11b.sql,DuckDB,NULL,5-2-4-0-1-7-6-3,2.738,118.947,121.7
21b.sql,DuckDB,NULL,6-2-4-0-1-8-7-3-5,2.985,31728,31731
19b.sql,DuckDB,NULL,2-1-8-7-0-9-6-5-4-3,3.169,32292.4,32295.6
24a.sql,DuckDB,NULL,2-1-10-9-0-11-8-7-6-5-4-3,3.054,32719.7,32722.7
1a.sql,DuckDB,NULL,4-3-2-1-0,0.722,321.137,321.876
23a.sql,DuckDB,NULL,8-4-9-5-7-2-3-10-6-1-0,3.352,31648.2,31651.6
29c.sql,DuckDB,NULL,5-4-15-14-0-8-13-11-7-12-9-10-6-2-1-3-16,4.11,32676.4,32680.5
22a.sql,DuckDB,NULL,7-2-9-4-6-0-1-10-5-8-3,3.516,31910,31913.5
26c.sql,DuckDB,NULL,4-3-10-9-6-11-7-8-5-1-0-2,3.239,823.746,827.002
27a.sql,DuckDB,NULL,9-5-7-3-4-1-0-2-10-6-11-8,3.694,31627.5,31631.2
17c.sql,DuckDB,NULL,6-4-3-2-1-5-0,2.729,1254.84,1257.58
30b.sql,DuckDB,NULL,10-3-7-4-9-6-8-5-1-0-2-11,3.285,32444.6,32447.9
3b.sql,DuckDB,NULL,3-2-1-0,0.405,31521.4,31521.8
18b.sql,DuckDB,NULL,6-4-3-2-1-5-0,2.904,32437.8,32440.7
33b.sql,DuckDB,NULL,7-0-12-4-9-2-11-6-10-3-13-5-8-1,3.866,209.2,213.082
1c.sql,DuckDB,NULL,4-3-2-1-0,0.572,152.846,153.437
31c.sql,DuckDB,NULL,9-0-6-2-8-4-5-1-7-3-10,3.124,33385.9,33389
28b.sql,DuckDB,NULL,10-5-12-7-9-3-4-13-8-11-6-1-0-2,3.87,31786.3,31790.2
7a.sql,DuckDB,NULL,7-4-3-1-6-0-2-5,3.589,648.725,652.331
4a.sql,DuckDB,NULL,4-3-2-1-0,0.583,342.71,343.31
16b.sql,DuckDB,NULL,6-0-1-7-5-4-3-2,2.93,8173.29,8176.23
18c.sql,DuckDB,NULL,6-4-3-2-1-5-0,3.057,33507.9,33510.9
20b.sql,DuckDB,NULL,8-4-3-7-5-9-6-1-0-2,3.544,481.34,484.902
9a.sql,DuckDB,NULL,7-4-3-6-2-1-5-0,2.904,1026.52,1029.44
22c.sql,DuckDB,NULL,7-2-9-4-6-0-1-10-5-8-3,3.399,32606.1,32609.5
22d.sql,DuckDB,NULL,7-2-9-4-6-0-1-10-5-8-3,3.246,32817.4,32820.7
2b.sql,DuckDB,NULL,4-3-2-1-0,0.553,1237.14,1237.72
8d.sql,DuckDB,NULL,6-5-3-2-4-1-0,2.691,3410.92,3413.63
32b.sql,DuckDB,NULL,5-4-3-2-1-0,0.934,381.572,382.523
9c.sql,DuckDB,NULL,7-4-3-6-2-1-5-0,3.027,1280.5,1283.55
12b.sql,DuckDB,NULL,5-2-4-0-1-7-6-3,2.715,31438.5,31441.3
17b.sql,DuckDB,NULL,6-4-3-2-1-5-0,2.82,1316.5,1319.34
1d.sql,DuckDB,NULL,4-3-2-1-0,0.47,496.542,497.027
27b.sql,DuckDB,NULL,9-5-7-3-4-1-0-2-10-6-11-8,3.547,31586.6,31590.2
13a.sql,DuckDB,NULL,6-3-5-0-1-8-7-4-2,2.626,31682.4,31685.1
25c.sql,DuckDB,NULL,7-0-8-6-5-4-3-2-1,2.612,36962.6,36965.2
6b.sql,DuckDB,NULL,4-2-1-3-0,2.673,305.111,307.8
2a.sql,DuckDB,NULL,4-3-2-1-0,0.534,1258.62,1259.17
13d.sql,DuckDB,NULL,6-3-5-0-1-8-7-4-2,3.259,607.877,611.152
29a.sql,DuckDB,NULL,5-4-15-14-0-8-13-11-7-12-9-10-6-2-1-3-16,4.338,33337.5,33341.9
14b.sql,DuckDB,NULL,4-0-7-6-5-3-2-1,2.881,32871.8,32874.7
30c.sql,DuckDB,NULL,10-3-7-4-9-6-8-5-1-0-2-11,2.962,34403.6,34406.6
6f.sql,DuckDB,NULL,4-2-1-3-0,0.558,2853.84,2854.42
22b.sql,DuckDB,NULL,7-2-9-4-6-0-1-10-5-8-3,3.276,32678.5,32681.8
24b.sql,DuckDB,NULL,2-1-10-9-0-11-8-7-6-5-4-3,3.149,32918.2,32921.3
6d.sql,DuckDB,NULL,4-2-1-3-0,0.696,414.094,414.807
17d.sql,DuckDB,NULL,6-4-3-2-1-5-0,2.73,1334.01,1336.76
13b.sql,DuckDB,NULL,6-3-5-0-1-8-7-4-2,2.971,272.727,275.715
17e.sql,DuckDB,NULL,6-4-3-2-1-5-0,2.729,3318.96,3321.7
5a.sql,DuckDB,NULL,4-3-2-1-0,0.712,32025.3,32026
15d.sql,DuckDB,NULL,6-3-7-4-5-1-2-8-0,2.875,2545.35,2548.24
16a.sql,DuckDB,NULL,6-0-1-7-5-4-3-2,4.113,4707.81,4711.94
11c.sql,DuckDB,NULL,5-2-4-0-1-7-6-3,3.272,195.278,198.568
10a.sql,DuckDB,NULL,6-4-3-2-5-1-0,3.138,1050.47,1053.63
11a.sql,DuckDB,NULL,5-2-4-0-1-7-6-3,2.867,170.81,173.694
5c.sql,DuckDB,NULL,4-3-2-1-0,0.707,33322.5,33323.2
29b.sql,DuckDB,NULL,5-4-15-14-0-8-13-11-7-12-9-10-6-2-1-3-16,3.795,29316.4,29320.2
8a.sql,DuckDB,NULL,6-5-3-2-4-1-0,2.841,640.748,643.604
12a.sql,DuckDB,NULL,5-2-4-0-1-7-6-3,2.597,31974.7,31977.3
14c.sql,DuckDB,NULL,4-0-7-6-5-3-2-1,2.603,32683.9,32686.5
19a.sql,DuckDB,NULL,2-1-8-7-0-9-6-5-4-3,3.203,32621.8,32625.1
16c.sql,DuckDB,NULL,6-0-1-7-5-4-3-2,2.946,4873.69,4876.65
4b.sql,DuckDB,NULL,4-3-2-1-0,0.703,120.648,121.368
33a.sql,DuckDB,NULL,7-0-12-4-9-2-11-6-10-3-13-5-8-1,4.032,255.533,259.582
3a.sql,DuckDB,NULL,3-2-1-0,0.502,32213.8,32214.3
1b.sql,DuckDB,NULL,4-3-2-1-0,0.578,430.708,431.303
18a.sql,DuckDB,NULL,6-4-3-2-1-5-0,2.964,36641.3,36644.3
15b.sql,DuckDB,NULL,6-3-7-4-5-1-2-8-0,3.176,28185.8,28189
23c.sql,DuckDB,NULL,8-4-9-5-7-2-3-10-6-1-0,3.12,31802.7,31805.8
26b.sql,DuckDB,NULL,4-3-10-9-6-11-7-8-5-1-0-2,3.145,792.135,795.298
19c.sql,DuckDB,NULL,2-1-8-7-0-9-6-5-4-3,3.216,32834.2,32837.5
17f.sql,DuckDB,NULL,6-4-3-2-1-5-0,2.965,2085.94,2088.92
27c.sql,DuckDB,NULL,9-5-7-3-4-1-0-2-10-6-11-8,3.903,31976,31979.9
6c.sql,DuckDB,NULL,4-2-1-3-0,0.611,279.457,280.082
28a.sql,DuckDB,NULL,10-5-12-7-9-3-4-13-8-11-6-1-0-2,3.939,32408,32412
32a.sql,DuckDB,NULL,5-4-3-2-1-0,0.834,377.722,378.575
11d.sql,DuckDB,NULL,5-2-4-0-1-7-6-3,2.654,299.625,302.297
19d.sql,DuckDB,NULL,2-1-8-7-0-9-6-5-4-3,3.12,5779.46,5782.59
4c.sql,DuckDB,NULL,4-3-2-1-0,0.626,602.109,602.753
26a.sql,DuckDB,NULL,4-3-10-9-6-11-7-8-5-1-0-2,3.19,895.31,898.516
10c.sql,DuckDB,NULL,6-4-3-2-5-1-0,2.764,1608.24,1611.02
5b.sql,DuckDB,NULL,4-3-2-1-0,0.802,31789.7,31790.5
9b.sql,DuckDB,NULL,7-4-3-6-2-1-5-0,3.21,804.985,808.211
10b.sql,DuckDB,NULL,6-4-3-2-5-1-0,3.022,901.579,904.618
6a.sql,DuckDB,NULL,4-2-1-3-0,0.671,323.446,324.134
30a.sql,DuckDB,NULL,10-3-7-4-9-6-8-5-1-0-2-11,3.211,32675.9,32679.1
23b.sql,DuckDB,NULL,8-4-9-5-7-2-3-10-6-1-0,3.131,28083.1,28086.3
31a.sql,DuckDB,NULL,9-0-6-2-8-4-5-1-7-3-10,3.37,32608.3,32611.7
8b.sql,DuckDB,NULL,6-5-3-2-4-1-0,3.337,526.603,529.956
2d.sql,DuckDB,NULL,4-3-2-1-0,0.486,1234.67,1235.17
15a.sql,DuckDB,NULL,6-3-7-4-5-1-2-8-0,2.963,28218.3,28221.3
15c.sql,DuckDB,NULL,6-3-7-4-5-1-2-8-0,3.063,33275.1,33278.2
33c.sql,DuckDB,NULL,7-0-12-4-9-2-11-6-10-3-13-5-8-1,5.373,312.333,317.725
2c.sql,DuckDB,NULL,4-3-2-1-0,0.688,1268.59,1269.3
21a.sql,DuckDB,NULL,6-2-4-0-1-8-7-3-5,4.368,32419.2,32423.6
17a.sql,DuckDB,NULL,6-4-3-2-1-5-0,2.772,1536.98,1539.77
13c.sql,DuckDB,NULL,6-3-5-0-1-8-7-4-2,2.854,221.988,224.858
31b.sql,DuckDB,NULL,9-0-6-2-8-4-5-1-7-3-10,3.426,32640.8,32644.2
20c.sql,DuckDB,NULL,8-4-3-7-5-9-6-1-0-2,3.404,1416.45,1419.87
7b.sql,DuckDB,NULL,7-4-3-1-6-0-2-5,3.464,428.887,432.368
21c.sql,DuckDB,NULL,6-2-4-0-1-8-7-3-5,3.163,32222.9,32226.1
7c.sql,DuckDB,NULL,7-4-3-1-6-0-2-5,3.485,18739.5,18743
25b.sql,DuckDB,NULL,7-0-8-6-5-4-3-2-1,2.743,32278.1,32280.8
9d.sql,DuckDB,NULL,7-4-3-6-2-1-5-0,2.903,1491.81,1494.73
28c.sql,DuckDB,NULL,10-5-12-7-9-3-4-13-8-11-6-1-0-2,3.885,32494.7,32498.6
14a.sql,DuckDB,NULL,4-0-7-6-5-3-2-1,2.724,32260,32262.8
25a.sql,DuckDB,NULL,7-0-8-6-5-4-3-2-1,2.841,34527.1,34529.9
12c.sql,DuckDB,NULL,5-2-4-0-1-7-6-3,4.624,32915.9,32920.5
16d.sql,DuckDB,NULL,6-0-1-7-5-4-3-2,3.115,4740.75,4743.88
20a.sql,DuckDB,NULL,8-4-3-7-5-9-6-1-0-2,3.838,1000.53,1004.39
6e.sql,DuckDB,NULL,4-2-1-3-0,0.591,420.266,420.875
3c.sql,DuckDB,NULL,3-2-1-0,0.499,33249.2,33249.7
8c.sql,DuckDB,NULL,6-5-3-2-4-1-0,2.555,4594.99,4597.57
11b.sql,DuckDB,NULL,5-2-4-0-1-7-6-3,2.806,118.613,121.437
21b.sql,DuckDB,NULL,6-2-4-0-1-8-7-3-5,3.095,31756.4,31759.5
19b.sql,DuckDB,NULL,2-1-8-7-0-9-6-5-4-3,3.15,32452.7,32455.8
24a.sql,DuckDB,NULL,2-1-10-9-0-11-8-7-6-5-4-3,2.969,32882.4,32885.4
1a.sql,DuckDB,NULL,4-3-2-1-0,0.759,333.229,334.005
23a.sql,DuckDB,NULL,8-4-9-5-7-2-3-10-6-1-0,3.337,31631.2,31634.6
29c.sql,DuckDB,NULL,5-4-15-14-0-8-13-11-7-12-9-10-6-2-1-3-16,3.952,32772.3,32776.3
22a.sql,DuckDB,NULL,7-2-9-4-6-0-1-10-5-8-3,3.271,31889.1,31892.4
26c.sql,DuckDB,NULL,4-3-10-9-6-11-7-8-5-1-0-2,3.604,832.36,835.981
27a.sql,DuckDB,NULL,9-5-7-3-4-1-0-2-10-6-11-8,3.682,31583.9,31587.6
17c.sql,DuckDB,NULL,6-4-3-2-1-5-0,2.751,1258.79,1261.56
30b.sql,DuckDB,NULL,10-3-7-4-9-6-8-5-1-0-2-11,3.264,32460.6,32463.9
3b.sql,DuckDB,NULL,3-2-1-0,0.448,31483.2,31483.6
18b.sql,DuckDB,NULL,6-4-3-2-1-5-0,2.799,32421.5,32424.3
33b.sql,DuckDB,NULL,7-0-12-4-9-2-11-6-10-3-13-5-8-1,3.942,208.605,212.564
1c.sql,DuckDB,NULL,4-3-2-1-0,0.581,151.491,152.09
31c.sql,DuckDB,NULL,9-0-6-2-8-4-5-1-7-3-10,3.134,33368.7,33371.9
28b.sql,DuckDB,NULL,10-5-12-7-9-3-4-13-8-11-6-1-0-2,3.849,31796.3,31800.2
7a.sql,DuckDB,NULL,7-4-3-1-6-0-2-5,3.579,643.815,647.41
4a.sql,DuckDB,NULL,4-3-2-1-0,0.558,340.231,340.808
16b.sql,DuckDB,NULL,6-0-1-7-5-4-3-2,2.889,8109.93,8112.83
18c.sql,DuckDB,NULL,6-4-3-2-1-5-0,3,33443.6,33446.7
20b.sql,DuckDB,NULL,8-4-3-7-5-9-6-1-0-2,3.505,480.838,484.361
9a.sql,DuckDB,NULL,7-4-3-6-2-1-5-0,3.203,1144.41,1147.64
22c.sql,DuckDB,NULL,7-2-9-4-6-0-1-10-5-8-3,3.293,32543.7,32547
22d.sql,DuckDB,NULL,7-2-9-4-6-0-1-10-5-8-3,3.241,32761.6,32764.9
2b.sql,DuckDB,NULL,4-3-2-1-0,0.569,1220.6,1221.18
8d.sql,DuckDB,NULL,6-5-3-2-4-1-0,2.698,3416,3418.72
32b.sql,DuckDB,NULL,5-4-3-2-1-0,0.941,383.115,384.073
9c.sql,DuckDB,NULL,7-4-3-6-2-1-5-0,3.081,1401.35,1404.45
12b.sql,DuckDB,NULL,5-2-4-0-1-7-6-3,2.709,31398.2,31400.9
17b.sql,DuckDB,NULL,6-4-3-2-1-5-0,2.831,1315.93,1318.78
1d.sql,DuckDB,NULL,4-3-2-1-0,0.466,483.683,484.167
27b.sql,DuckDB,NULL,9-5-7-3-4-1-0-2-10-6-11-8,3.598,31604.7,31608.3
13a.sql,DuckDB,NULL,6-3-5-0-1-8-7-4-2,2.578,31681,31683.6
25c.sql,DuckDB,NULL,7-0-8-6-5-4-3-2-1,2.616,36998.9,37001.5
6b.sql,DuckDB,NULL,4-2-1-3-0,2.644,305.108,307.768
2a.sql,DuckDB,NULL,4-3-2-1-0,0.51,1267.15,1267.68
13d.sql,DuckDB,NULL,6-3-5-0-1-8-7-4-2,3.238,607.503,610.757
29a.sql,DuckDB,NULL,5-4-15-14-0-8-13-11-7-12-9-10-6-2-1-3-16,4.326,33250.2,33254.6
14b.sql,DuckDB,NULL,4-0-7-6-5-3-2-1,2.7,32832.5,32835.3
30c.sql,DuckDB,NULL,10-3-7-4-9-6-8-5-1-0-2-11,3.103,34331,34334.1
6f.sql,DuckDB,NULL,4-2-1-3-0,0.56,2850.46,2851.04
22b.sql,DuckDB,NULL,7-2-9-4-6-0-1-10-5-8-3,3.252,32568.1,32571.4
24b.sql,DuckDB,NULL,2-1-10-9-0-11-8-7-6-5-4-3,3.198,32767.8,32771.1
6d.sql,DuckDB,NULL,4-2-1-3-0,0.671,419.277,419.967
17d.sql,DuckDB,NULL,6-4-3-2-1-5-0,2.771,1358.94,1361.73
13b.sql,DuckDB,NULL,6-3-5-0-1-8-7-4-2,2.921,269.663,272.6
17e.sql,DuckDB,NULL,6-4-3-2-1-5-0,2.901,3316.04,3318.96
5a.sql,DuckDB,NULL,4-3-2-1-0,0.687,32021.3,32022
15d.sql,DuckDB,NULL,6-3-7-4-5-1-2-8-0,2.875,2539.68,2542.57
16a.sql,DuckDB,NULL,6-0-1-7-5-4-3-2,4.18,4704.76,4708.96
11c.sql,DuckDB,NULL,5-2-4-0-1-7-6-3,3.295,192.895,196.207
10a.sql,DuckDB,NULL,6-4-3-2-5-1-0,3.162,1047.96,1051.14
